source,target,method,sector_match,source_vol_bucket,accuracy,macro_f1,n_test
NONE,LEELAHOTELS,no_augmentation,n/a,n/a,0.31746031746031744,0.20771241830065362,63
RELIANCE,LEELAHOTELS,markov_cross_transfer,different,medium_vol,0.2222222222222222,0.11925925925925926,63
RELIANCE,LEELAHOTELS,qcbm_cross_transfer,different,medium_vol,0.23809523809523808,0.12545454545454543,63
TCS,LEELAHOTELS,markov_cross_transfer,different,low_vol,0.20634920634920634,0.11000000000000001,63
TCS,LEELAHOTELS,qcbm_cross_transfer,different,low_vol,0.20634920634920634,0.10873015873015875,63
HDFCBANK,LEELAHOTELS,markov_cross_transfer,different,low_vol,0.20634920634920634,0.10208232445520582,63
HDFCBANK,LEELAHOTELS,qcbm_cross_transfer,different,low_vol,0.19047619047619047,0.12511279737489747,63
INFY,LEELAHOTELS,markov_cross_transfer,different,medium_vol,0.19047619047619047,0.106184012066365,63
INFY,LEELAHOTELS,qcbm_cross_transfer,different,medium_vol,0.20634920634920634,0.1404461379693578,63
ICICIBANK,LEELAHOTELS,markov_cross_transfer,different,high_vol,0.20634920634920634,0.11300893743793446,63
ICICIBANK,LEELAHOTELS,qcbm_cross_transfer,different,high_vol,0.25396825396825395,0.16734234234234235,63
HINDUNILVR,LEELAHOTELS,markov_cross_transfer,different,low_vol,0.2222222222222222,0.11084082496033845,63
HINDUNILVR,LEELAHOTELS,qcbm_cross_transfer,different,low_vol,0.2222222222222222,0.11868131868131868,63
SBIN,LEELAHOTELS,markov_cross_transfer,different,high_vol,0.25396825396825395,0.13479596314172881,63
SBIN,LEELAHOTELS,qcbm_cross_transfer,different,high_vol,0.2698412698412698,0.14666666666666667,63
BHARTIARTL,LEELAHOTELS,markov_cross_transfer,different,high_vol,0.20634920634920634,0.11043771043771042,63
BHARTIARTL,LEELAHOTELS,qcbm_cross_transfer,different,high_vol,0.19047619047619047,0.09957983193277312,63
NONE,AEGISVOPAK,no_augmentation,n/a,n/a,0.20634920634920634,0.15104209799861973,63
RELIANCE,AEGISVOPAK,markov_cross_transfer,same,medium_vol,0.2222222222222222,0.13666666666666666,63
RELIANCE,AEGISVOPAK,qcbm_cross_transfer,same,medium_vol,0.2222222222222222,0.15896329972217366,63
TCS,AEGISVOPAK,markov_cross_transfer,different,low_vol,0.20634920634920634,0.11663157894736842,63
TCS,AEGISVOPAK,qcbm_cross_transfer,different,low_vol,0.20634920634920634,0.12893772893772892,63
HDFCBANK,AEGISVOPAK,markov_cross_transfer,different,low_vol,0.1746031746031746,0.1039911308203991,63
HDFCBANK,AEGISVOPAK,qcbm_cross_transfer,different,low_vol,0.19047619047619047,0.13101489658128818,63
INFY,AEGISVOPAK,markov_cross_transfer,different,medium_vol,0.20634920634920634,0.12240802675585286,63
INFY,AEGISVOPAK,qcbm_cross_transfer,different,medium_vol,0.19047619047619047,0.12222222222222223,63
ICICIBANK,AEGISVOPAK,markov_cross_transfer,different,high_vol,0.20634920634920634,0.13486486486486488,63
ICICIBANK,AEGISVOPAK,qcbm_cross_transfer,different,high_vol,0.20634920634920634,0.13333333333333333,63
HINDUNILVR,AEGISVOPAK,markov_cross_transfer,different,low_vol,0.2222222222222222,0.13073593073593073,63
HINDUNILVR,AEGISVOPAK,qcbm_cross_transfer,different,low_vol,0.20634920634920634,0.11987179487179489,63
SBIN,AEGISVOPAK,markov_cross_transfer,different,high_vol,0.2222222222222222,0.13931203931203934,63
SBIN,AEGISVOPAK,qcbm_cross_transfer,different,high_vol,0.23809523809523808,0.15734030197444832,63
BHARTIARTL,AEGISVOPAK,markov_cross_transfer,different,high_vol,0.1746031746031746,0.10844553243574051,63
BHARTIARTL,AEGISVOPAK,qcbm_cross_transfer,different,high_vol,0.20634920634920634,0.13495934959349593,63
