ticker,method,accuracy
AEGISVOPAK,bootstrap,0.20953469292076887
AEGISVOPAK,markov_cross_transfer,0.22426913803496082
AEGISVOPAK,no_augmentation,0.2141768803161208
AEGISVOPAK,qcbm_cross_transfer,0.1913594199986605
HAPPSTMNDS,bootstrap,0.31874951610864616
HAPPSTMNDS,markov_cross_transfer,0.3417230394705328
HAPPSTMNDS,no_augmentation,0.3294196976586469
HAPPSTMNDS,qcbm_cross_transfer,0.34538604313353644
IEX,bootstrap,0.2699785587687638
IEX,markov_cross_transfer,0.2634794496759327
IEX,no_augmentation,0.2546251165341843
IEX,qcbm_cross_transfer,0.25503844983766655
IRFC,bootstrap,0.32400598789269125
IRFC,markov_cross_transfer,0.3257875789740463
IRFC,no_augmentation,0.32066246543036475
IRFC,qcbm_cross_transfer,0.334657649370474
KPITTECH,bootstrap,0.27296194895970616
KPITTECH,markov_cross_transfer,0.2728484222641269
KPITTECH,no_augmentation,0.2536448230259185
KPITTECH,qcbm_cross_transfer,0.2798633778329725
LEELAHOTELS,bootstrap,0.3460571109372617
LEELAHOTELS,markov_cross_transfer,0.25020626798165174
LEELAHOTELS,no_augmentation,0.3431843216384019
LEELAHOTELS,qcbm_cross_transfer,0.25048129195718744
MAZDOCK,bootstrap,0.27638888888888885
MAZDOCK,markov_cross_transfer,0.28456790123456793
MAZDOCK,no_augmentation,0.25594135802469137
MAZDOCK,qcbm_cross_transfer,0.28996913580246914
RAILTEL,bootstrap,0.34293954156435297
RAILTEL,markov_cross_transfer,0.339880170969832
RAILTEL,no_augmentation,0.33080733060029316
RAILTEL,qcbm_cross_transfer,0.33392779001745104
SUZLON,bootstrap,0.30992868108912314
SUZLON,markov_cross_transfer,0.317061392304342
SUZLON,no_augmentation,0.30876477858185175
SUZLON,qcbm_cross_transfer,0.32565755809372426
TANLA,bootstrap,0.267266623888194
TANLA,markov_cross_transfer,0.26363633807898285
TANLA,no_augmentation,0.26854234099375107
TANLA,qcbm_cross_transfer,0.2611931451918113
